Country,Total_import,Total_re_export,Import_vs_Export,percent_consumed
Tunisia,492540,3660,488880,99.25691314
Japan,12422760,134760,12288000,98.91521691
Norway,1334340,16260,1318080,98.78142003
   Romania,1380180,40020,1340160,97.10037821
   Malta,29700,1140,28560,96.16161616
   Cyprus,130380,7980,122400,93.87942936
   Croatia,622080,57900,564180,90.69251543
Russian Federation,5731080,609840,5121240,89.35907368
United States of America,42507660,4526640,37981020,89.35100168
   Greece,1640040,187260,1452780,88.58198581
   Finland,2151840,284400,1867440,86.78340397
   Ireland,384300,61080,323220,84.10616706
   Portugal,1568700,256740,1311960,83.63358195
   Denmark,1741860,289800,1452060,83.36261238
   France,11972520,2063880,9908640,82.76152389
   Sweden,3148800,652260,2496540,79.28544207
   Slovenia,395520,94440,301080,76.12257282
   Bulgaria,830700,205620,625080,75.24738173
United Kingdom,6731460,1734120,4997340,74.23857529
   Italy,13272120,3678600,9593520,72.28325241
   Spain,7840620,2277480,5563140,70.9528073
   Latvia,261540,79380,182160,69.64900206
   Austria,2765760,869220,1896540,68.57211038
   Poland,4815540,1525740,3289800,68.31632589
   Hungary,1327440,436740,890700,67.09907792
   Estonia,268980,93240,175740,65.33571269
   Luxembourg,415620,152580,263040,63.28858092
   Czechia,1816020,674640,1141380,62.8506294
   Lithuania,473460,184500,288960,61.03155494
   Netherlands,5951400,2527200,3424200,57.53604194
   Slovakia,821760,373020,448740,54.60718458
   Germany,31481400,14558880,16922520,53.75402619
Switzerland,3212700,1485780,1726920,53.75291811
   Belgium/Luxembourg,1257900,742860,515040,40.94443119
   Belgium,6240540,4779780,1460760,23.40758973
