Country,Total_import
   Austria,2765760
   Belgium,6240540
   Belgium/Luxembourg,1257900
   Bulgaria,830700
   Croatia,622080
   Cyprus,130380
   Czechia,1816020
   Denmark,1741860
   Estonia,268980
   Finland,2151840
   France,11972520
   Germany,31481400
   Greece,1640040
   Hungary,1327440
   Ireland,384300
   Italy,13272120
   Latvia,261540
   Lithuania,473460
   Luxembourg,415620
   Malta,29700
   Netherlands,5951400
   Poland,4815540
   Portugal,1568700
   Romania,1380180
   Slovakia,821760
   Slovenia,395520
   Spain,7840620
   Sweden,3148800
Japan,12422760
Norway,1334340
Russian Federation,5731080
Switzerland,3212700
Tunisia,492540
United Kingdom,6731460
United States of America,42507660
