"country","total_import","total_re_export","import_vs_export","percent_consumed"
"Tunisia",492540,3660,488880,99.25691314
"Japan",12422760,134760,12288000,98.91521691
"Norway",1334340,16260,1318080,98.78142003
"   Romania",1380180,40020,1340160,97.10037821
"   Malta",29700,1140,28560,96.16161616
"   Cyprus",130380,7980,122400,93.87942936
"   Croatia",622080,57900,564180,90.69251543
"Russian Federation",5731080,609840,5121240,89.35907368
"United States of America",42507660,4526640,37981020,89.35100168
"   Greece",1640040,187260,1452780,88.58198581
